time, dskOnReal, dskOnFake, epoch
1590657596.8722, 0.352, 0.7581, 0
1590657596.9031, 0.34, 0.7419, 0
1590657596.93, 0.331, 0.7253, 0
1590657596.957, 0.343, 0.699, 0
1590657596.9879, 0.336, 0.665, 0
1590657597.0208, 0.366, 0.6284, 0
1590657597.0497, 0.377, 0.5824, 0
1590657597.0737, 0.369, 0.5433, 0
1590657597.1036, 0.368, 0.5085, 0
1590657597.1285, 0.367, 0.4782, 0
1590657597.1545, 0.338, 0.4599, 0
1590657597.1814, 0.34, 0.4454, 0
1590657597.2063, 0.313, 0.4434, 0
1590657597.2332, 0.283, 0.4561, 0
1590657597.2582, 0.269, 0.4729, 0
1590657597.2851, 0.253, 0.4972, 0
1590657597.314, 0.261, 0.5076, 0
1590657597.342, 0.241, 0.5351, 0
1590657597.3689, 0.25, 0.5488, 0
1590657597.3948, 0.243, 0.5593, 0
1590657597.4188, 0.248, 0.5626, 0
1590657597.4467, 0.245, 0.5551, 0
1590657597.5245, 0.243, 0.5527, 1
1590657597.5623, 0.27, 0.5264, 1
1590657597.5963, 0.286, 0.527, 1
1590657597.6381, 0.296, 0.5207, 1
1590657597.676, 0.3, 0.5262, 1
1590657597.703, 0.296, 0.5335, 1
1590657597.7289, 0.328, 0.5443, 1
1590657597.7548, 0.349, 0.5578, 1
1590657597.7793, 0.346, 0.5673, 1
1590657597.8072, 0.384, 0.5747, 1
1590657597.8321, 0.44, 0.5853, 1
1590657597.857, 0.451, 0.5935, 1
1590657597.884, 0.477, 0.6175, 1
1590657597.9089, 0.508, 0.6401, 1
1590657597.9339, 0.555, 0.6735, 1
1590657597.9608, 0.568, 0.7504, 1
1590657597.9847, 0.593, 0.8202, 1
1590657598.0107, 0.58, 0.8639, 1
1590657598.0376, 0.556, 0.8867, 1
1590657598.0615, 0.548, 0.8748, 1
1590657598.0875, 0.508, 0.8534, 1
1590657598.1124, 0.457, 0.8024, 1
1590657598.1383, 0.385, 0.7135, 1
1590657598.1653, 0.34, 0.6307, 1
1590657598.1882, 0.318, 0.601, 1
1590657598.2151, 0.307, 0.6353, 1
1590657598.244, 0.315, 0.6959, 1
1590657598.267, 0.342, 0.717, 1
1590657598.2949, 0.385, 0.7285, 1
1590657598.3238, 0.425, 0.7218, 1
1590657598.3518, 0.474, 0.6779, 1
1590657598.3747, 0.499, 0.6377, 1
1590657598.4006, 0.493, 0.6438, 1
1590657598.4266, 0.448, 0.6708, 1
1590657598.4505, 0.365, 0.6984, 1
1590657598.4774, 0.342, 0.7127, 1
